"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",1.0873547270132,1.23306622589985,1.68567226631856,1.38918340295052,1.2921459226544,1.20937211814588,1.16283356881759,1.19439429262666,1.64624225153606,1.13269735186683,1.03708756394114,1.18501640715623,0.990462214482384,1.75678357734731,1.4385392695704
"121",1.093605900653,1.23036216379366,1.68949485344857,1.40673199147363,1.29945488519368,1.20967044417865,1.1628247057668,1.19175308255606,1.64384753641533,1.1301735996368,1.03368681351214,1.19870383553163,0.99036724286163,1.76324431782332,1.43662275893018
"122",1.0961644999914,1.22742345373435,1.69473418386866,1.42635747766053,1.30604206161167,1.21163896577596,1.1620993688256,1.19015424346356,1.64345456014607,1.1280829166932,1.03262207291139,1.20793668552659,0.987755946095433,1.76608910352874,1.43509345874225
"123",1.09659547077382,1.22835505695092,1.70220928697777,1.44221908361918,1.30694714817495,1.21575528334435,1.16329101683229,1.19199042863609,1.64726684513568,1.128190780032,1.03255875651948,1.21043309094655,0.988436438595603,1.76604398516459,1.438270297276
"124",1.09562560049128,1.23204566712677,1.7114788528266,1.45351529565928,1.30679080292251,1.22417894530879,1.16587439585107,1.19636933113244,1.65410693694803,1.12956119025227,1.03369404652239,1.20965619388804,0.988149511814912,1.765723034089,1.44555316566124
"125",1.09688717916,1.23597519012918,1.72213915515228,1.46189772662458,1.3058908924011,1.23585690229975,1.17009447095393,1.20063947032291,1.66170623929801,1.13234157148454,1.0353141038473,1.20606698723126,0.98667153297026,1.76512625386532,1.4532687589074
"126",1.0983311082256,1.23601404054789,1.72849257554705,1.46927400073134,1.30543316145435,1.24233895415092,1.17459308267301,1.20451368743654,1.67192977275177,1.13795085204861,1.03686005064351,1.2058695865657,0.984685358715669,1.76791057410808,1.45575739222475
"127",1.10117291096112,1.23497283659976,1.72924530155519,1.4636851686201,1.30336896121041,1.24853523420556,1.17679774664871,1.2120502864713,1.67527808912279,1.14648345768342,1.03823749342984,1.20614494277016,0.980970103188119,1.77356277011922,1.45519506308355
"128",1.09983989474443,1.23796350912918,1.72926139613548,1.47143041037777,1.30352381995228,1.24863860505983,1.17778973111609,1.21210434762318,1.67554229353192,1.14875398023438,1.03939454683745,1.20324596875759,0.981464371291785,1.77626321260832,1.4548943784596
"129",1.09216794059221,1.25011375162174,1.7268416871729,1.48017843756565,1.30684361838629,1.2457981751479,1.17270157196093,1.20438271773558,1.67409098560867,1.14586467194153,1.0388235530355,1.1891400363577,0.990207612793399,1.76694691195923,1.45904114234296
"130",1.07469525833935,1.26165462589837,1.72575972531659,1.4880978246517,1.31198522741414,1.24594630916173,1.1604764685918,1.19392354692764,1.67496914527956,1.14261020832378,1.03478073657429,1.17024412126334,1.00516743857785,1.74968084193593,1.46053109172721
"131",1.05154220224902,1.26294140459054,1.7204206130089,1.49851797383068,1.31896064813455,1.23878729903755,1.15091849491798,1.18420814895697,1.67230011689476,1.13988886966634,1.03085139509932,1.16102071976409,1.01929693531514,1.73140150014369,1.46213800136205
"132",1.03709429307357,1.26447242124729,1.71651672196463,1.50766002187251,1.3200517287333,1.23461231588576,1.14337440759748,1.17574415506486,1.67133749767799,1.13995999318132,1.03319296551955,1.15585999602829,1.03050427392535,1.71716234467047,1.46422009314233
"133",1.02477479313202,1.26413369627969,1.71411663877033,1.51338943933768,1.31991171668732,1.23095689191045,1.14117788945237,1.1706675838595,1.6694632083326,1.14090757512343,1.03585571229608,1.15410617191571,1.03977001101016,1.70623832050777,1.46635070368494
"134",1.01918833528969,1.26440837370994,1.71451509165465,1.51908130606183,1.32044721419822,1.23066748402364,1.14392132435988,1.16868595933111,1.66861578827977,1.14366723971806,1.03937085593848,1.15276486158185,1.04461625434695,1.70075281069926,1.46693294478886
"135",1.01676397621638,1.2640813568974,1.71692806845739,1.52341815915516,1.32102941393833,1.23332054114879,1.15208567438946,1.16928796183174,1.6690670718305,1.14661529630389,1.04637643656512,1.15286662378919,1.0458356135955,1.70461211695096,1.46596769870811
"136",1.01833957888972,1.26055836010154,1.72048537103847,1.52418126873004,1.31892067969116,1.23543038973187,1.16035250000881,1.17137834937126,1.67061188138393,1.15103103637545,1.05200567350191,1.153147684261,1.04288298101955,1.7115319358873,1.4626654193383
"137",1.02102347065572,1.25403064612061,1.72288876070695,1.52116083972091,1.31402753647751,1.23473502383728,1.16765389241242,1.17701634048896,1.67383710747235,1.15664425997209,1.05958128676974,1.15503561974421,1.03899500691922,1.72054077176605,1.45806451694568
"138",1.02496333140432,1.2472654346184,1.72270359050904,1.51676076583097,1.30354197076224,1.22766552759549,1.17785924904604,1.17637138947813,1.67940120256772,1.16065324835362,1.06630169870842,1.15565755137117,1.03075264081863,1.73241167369563,1.45643534719298
"139",1.02696711420728,1.23952887096637,1.71968212489879,1.51272221442095,1.29277039154737,1.22438779166696,1.18110543172702,1.1737803582505,1.68019614124879,1.15900446170401,1.0756122523027,1.15620185179544,1.02885533902586,1.74633419711314,1.45622206158136
"140",1.02770259798783,1.23395055394754,1.71629822282924,1.51316259059383,1.28468207879697,1.22843482633038,1.17992851984321,1.17402016329698,1.67996867777901,1.15941183424147,1.07610509901933,1.15466554694019,1.02758101998607,1.76257836277989,1.45674836207639
"141",1.02649286975113,1.23369137087454,1.72082465202469,1.51946286780232,1.28629919167697,1.23763042703798,1.18390556974144,1.17759948896282,1.67903301888468,1.16238090146324,1.07706817112471,1.15229033439812,1.02972278641023,1.7696829923718,1.45333231545345
"142",1.02195181815737,1.23632312210671,1.72602703820712,1.52800111468889,1.29315260068973,1.24313493383417,1.19115360181147,1.18508038724614,1.67925418613847,1.16502772243815,1.08184213696231,1.15222551686884,1.03544047537844,1.77164046900473,1.45099896521843
"143",1.01203598077535,1.23889790743087,1.72935088950608,1.53845797771026,1.30026097724946,1.25271060742635,1.19727832603607,1.19238567612545,1.66476690172752,1.16560682319101,1.08690125621774,1.15254785512067,1.04518952089873,1.77716916646304,1.45239573083997
"144",1.0078915116019,1.23591515108603,1.72806419781449,1.55091011457962,1.30180343839152,1.25860876044549,1.20382673358396,1.1942330167508,1.65595414767869,1.16656042721562,1.08856069645729,1.15331076620569,1.05101533787302,1.789219606516,1.44984237581013
"145",1.00165751701758,1.22653576723204,1.72266372277292,1.55791588512762,1.29378430613156,1.26537020128835,1.21037153179697,1.19871005349632,1.64971854273109,1.16773119800967,1.09442586430365,1.15594636706794,1.05057901689476,1.80591857962502,1.44888803863194
"146",0.999859222518621,1.21347976893952,1.71294806792195,1.56286951572525,1.28590960357788,1.26859946796628,1.21455507271931,1.20022816713771,1.6433462433187,1.16750802912598,1.09812015557414,1.15671230399031,1.04772434921803,1.8238269107655,1.44835224395579
"147",1.00305955488681,1.20008246086371,1.69947435114918,1.56449792812873,1.27610205237802,1.26791134021789,1.20708551461833,1.19984967837101,1.64194636649513,1.16594519201194,1.09918792799567,1.15608631218202,1.04138502080251,1.84441222161777,1.44855056722264
"148",1.00916212285759,1.18816356917977,1.68947050701313,1.56451318504328,1.26306694972779,1.26384686285499,1.19279466582261,1.20044958612919,1.64504306803096,1.16686924288161,1.09705019938514,1.15713207862542,1.03442824979103,1.85754252037188,1.4487602671045
"149",1.01866564479618,1.1798293630446,1.6801302029574,1.56491254166696,1.25284654417809,1.25917987365128,1.17628206359827,1.20095272508826,1.65256997951194,1.16467954202345,1.09138438295387,1.15858960921328,1.02787614537694,1.86976128716389,1.44635496054101
"150",1.02424996393657,1.18636702749995,1.67103380460961,1.56450336856766,1.24894799974536,1.25213706503492,1.15678342860626,1.19994474129707,1.66006978298401,1.15943683249851,1.08563801764985,1.15891212110866,1.02611653706557,1.87936845137214,1.44495415482343
"151",1.03358733048826,1.19718320356011,1.656714751274,1.56346061214034,1.24377727628519,1.24501212525686,1.13799610167256,1.19944863172494,1.66751504593136,1.15631339760951,1.08435776988616,1.16480548464113,1.02821003745562,1.87941630875223,1.44432315922484
"152",1.04595009272461,1.1942311546873,1.65380573862096,1.56325611761073,1.24408223322673,1.24373600124055,1.12897724973199,1.20222329074216,1.6714430184421,1.16180277535922,1.08364427384042,1.16739848732412,1.03065612232954,1.88342096457431,1.44523450441189
"153",1.05436389291281,1.17971776607199,1.6705489523913,1.5586017920161,1.23863214900043,1.24256290367427,1.13503869224404,1.20543697593625,1.67077906031476,1.16651777845292,1.08297826144076,1.16763429917764,1.02174697340198,1.88510156633925,1.44894935523156
"154",1.05681413261145,1.15783136331993,1.69741731820063,1.55313884301443,1.23784569218074,1.24264911817274,1.14700291054646,1.20934490184004,1.66296538277599,1.17291267533747,1.09053167738785,1.166415545371,1.00952271533255,1.89292583633679,1.44854974928583
"155",1.06255041457953,1.14156049623002,1.71698110041871,1.54704758104552,1.24138691372185,1.24411405809019,1.15752279611564,1.20749411557956,1.65413710736121,1.18346114707518,1.09310582394918,1.16653753259133,1.00205225579197,1.88926398818172,1.45430193044541
"156",1.07482953627357,1.13269379748732,1.72895299149113,1.54247671977362,1.24531049182119,1.24784939293103,1.15731409781329,1.20391992346995,1.64362572742247,1.19330946792051,1.0959030037726,1.16689502528622,0.997373128245811,1.8911923241275,1.46277709979218
"157",1.09065268297387,1.1235510623847,1.7360138270469,1.53992849515941,1.24881508657196,1.25009838619419,1.14773444958737,1.20234981576399,1.63958796173569,1.19952613292636,1.1029516645086,1.16802356603168,0.995858690877328,1.89582207650504,1.47334012921499
"158",1.10779272109335,1.12040865469612,1.73681847719541,1.53875519948504,1.25077757435649,1.2504393760621,1.13405827820743,1.19969603574089,1.63728484560054,1.20262714670549,1.10505679765119,1.17118595780271,0.994773312880221,1.90367735740374,1.48384854346642
"159",1.1172315342636,1.12159941112893,1.73240881070601,1.53863131144908,1.25248611754871,1.24960782623255,1.11805197384948,1.19941261820357,1.6411282121165,1.20263001450361,1.10509008997005,1.173589898225,0.995341792885842,1.90721310919551,1.48861652836988
"160",1.12208940229228,1.12699407378856,1.72532478280238,1.53846179031873,1.25018800057693,1.2495768985998,1.10418038057261,1.19945531717412,1.64613701683301,1.20095089425835,1.10414221810178,1.17761074437458,0.994255130414823,1.90841045776378,1.48966000545653
"161",1.12328270902938,1.13664164657605,1.72005644834066,1.53764491491532,1.24604718391261,1.24858093623685,1.0936506018869,1.1995017291928,1.65173452492949,1.1978309806669,1.09997715322952,1.17850260322463,0.994264737668265,1.90773094025804,1.48306425358097
"162",1.1119669319149,1.15017879280701,1.72391021154087,1.53688369428784,1.24432390734305,1.24997368450882,1.09494622230518,1.20022940782886,1.65832662338499,1.19513817244417,1.09391196039656,1.17444642193999,0.996182163608835,1.9046614984061,1.47439742996566
"163",1.11011431772427,1.1587911995485,1.72915520570945,1.53248706970053,1.24451111729631,1.25867038463234,1.10181320639196,1.20366093970174,1.66344103394698,1.19119804630955,1.09057112868132,1.17429226089979,1.00067854793809,1.90153933716701,1.46587522459198
"164",1.12250617970798,1.15787334445524,1.72203537700807,1.53049353136785,1.24482773340488,1.2600617196641,1.09623015758204,1.2040687320337,1.66542377453567,1.19123416075058,1.09071786458503,1.18174392225322,1.00038200437929,1.90360933875186,1.4640196811283
"165",1.14140574823371,1.15544450323895,1.69388501723108,1.53322099021625,1.23824085558063,1.25218187056314,1.08134576659645,1.20322859256903,1.6609728048617,1.19520094658937,1.09375942450615,1.18678080004188,0.995896633371274,1.90997369868055,1.46622018975076
"166",1.17415026303905,1.15487634311657,1.65981954773998,1.53799108243756,1.22147004368299,1.23464967355536,1.05872591607797,1.20150991951634,1.65618634933587,1.19995577813845,1.10036259525551,1.18964061914661,0.98805918522078,1.92139490693026,1.47002742220155
"167",1.19561149465,1.14301234275169,1.61264496665016,1.54306509729521,1.2127712767384,1.22410576243801,1.03837553007189,1.20063206231232,1.65241738377412,1.20679896298129,1.10822294339529,1.19201702960529,0.983023466199885,1.93701418497424,1.47278932332914
"168",1.21348133429827,1.1310166850861,1.57060710228611,1.54596001536793,1.20713155073226,1.21948166890752,1.02222338032221,1.20093043789946,1.64854155989308,1.21217736813599,1.11324347108356,1.19118282869429,0.975739223138298,1.9498265724484,1.47385864496952
"169",1.22557189708203,1.12261418765438,1.53689188261335,1.54829538170754,1.20544230983394,1.2201200711941,1.01540624943414,1.20100115308843,1.64618052729342,1.21662834617721,1.1153526072033,1.19065714126804,0.972358190149959,1.95408546553615,1.47459894906689
"170",1.23255887826041,1.11411627123053,1.51311702128842,1.547958311692,1.20353042138375,1.2221740074888,1.00994087260787,1.20048064234743,1.64771558436605,1.21785413967708,1.11478992136783,1.18864310057279,0.971038656211926,1.95454725065002,1.47299579866879
"171",1.23465707656757,1.11298287597456,1.50472532788234,1.54462024140264,1.20353684319671,1.22718022418495,1.00823035170495,1.20077007425167,1.65427618141576,1.21793984400761,1.11281496203014,1.18886445527907,0.970563054085185,1.95309851568311,1.46915274995765
"172",1.2327189582644,1.11302109378108,1.50528058457999,1.54082131322662,1.20635885292489,1.23298657625298,1.01110203347219,1.20185430275301,1.66151659681061,1.21812588877302,1.11165380484204,1.1899865884989,0.972892311237937,1.94508905272332,1.46606017105898
"173",1.22544054075969,1.11312734564538,1.51813216778909,1.53642199248683,1.20941311484175,1.23879233741249,1.01904381762492,1.20346432356828,1.66870484459737,1.21702544899183,1.11270793208944,1.19337514691042,0.977888396602529,1.93534756548426,1.45930033745869
"174",1.22083338595197,1.11141713551173,1.53825232664845,1.53284969806506,1.21419706602482,1.24091425482538,1.0287847672774,1.20470359815222,1.67897913702121,1.21643093971986,1.11457360082452,1.19712009221203,0.984938786572964,1.92443758356794,1.45247771296918
"175",1.22061762136933,1.10934518702191,1.55563640118762,1.53381128088732,1.21834255998677,1.24277694167298,1.03475678500835,1.21370017928923,1.68446298886296,1.2148941650377,1.11986082322733,1.19803814520903,0.990255625922172,1.91329359680751,1.44082216736508
"176",1.22095064360128,1.10946537607361,1.56546889966652,1.53531495810508,1.21923212849256,1.23968425238836,1.03393860012789,1.21851211346324,1.68658062162911,1.21493971581575,1.1263160340831,1.1968749036613,0.993218715716261,1.90119324036148,1.42801101394225
"177",1.22668648399327,1.11511620276373,1.56794754064115,1.52703352903565,1.21791960515145,1.22889298133592,1.03165164483785,1.21704586729924,1.68314322456277,1.21573297500594,1.13043845421673,1.19737307534525,0.992319120544044,1.9001235155431,1.41017331034776
"178",1.24432378865029,1.12115738988649,1.55460945443847,1.51475368814899,1.21626830058901,1.20867031426868,1.02967972719581,1.21149399333781,1.67263341455624,1.21753664831857,1.12729656981839,1.19909431470636,0.991608074461012,1.90575424831982,1.39078932525384
"179",1.25892498946689,1.12735169123611,1.54416893953077,1.50284284033195,1.21436745823305,1.184508505033,1.02463708845416,1.20309411730277,1.66737153259402,1.21949829720405,1.13123975280491,1.20139913236274,0.989163137785087,1.90600316246329,1.36191480656221
"180",1.27383201967654,1.13176487006045,1.53590118504996,1.49056145537174,1.2145141494506,1.16133906559802,1.02229711631249,1.20153964691002,1.66393591357603,1.22282396083018,1.14375196113067,1.20487874794051,0.991511001645562,1.89619772828247,1.33796498062902
"181",1.28517184882293,1.13627940018605,1.53247048314614,1.48313435069621,1.21561200156318,1.14603755773623,1.02211360592297,1.20221353460955,1.66293209168296,1.22294265176456,1.16026988598597,1.20725090809556,0.994069831654178,1.87997530508663,1.32253349304214
"182",1.29197249067696,1.13609442673725,1.53295487458818,1.47917096221236,1.21692525481399,1.13642732225575,1.02222549471929,1.20501472783828,1.66239321161139,1.22366508877505,1.17672147832771,1.20767507657426,0.999406861414447,1.86550378490846,1.31212679253596
"183",1.2939905969719,1.13303153556124,1.53844210293646,1.4805073870834,1.21769226678221,1.13321876799657,1.02219078227942,1.20766826034696,1.66282081650451,1.22374758816114,1.1895629313741,1.20580172125578,1.00484536015494,1.85101832696782,1.30677667054596
"184",1.28923594916723,1.12978492338648,1.54537642614192,1.48355627284149,1.21435554729131,1.13565772632622,1.0210376574222,1.21920939235732,1.66184683680259,1.22117803966108,1.20057849853281,1.20281301685949,1.00847078208023,1.83814021404641,1.31175877077321
"185",1.2816833545659,1.12488491402683,1.55321733509983,1.48752945403697,1.20675754318451,1.13993475496602,1.01674054644379,1.23228925222962,1.65994345171769,1.219862814397,1.20574042734294,1.19777769112099,1.00897396202572,1.83047262815289,1.32024604555359
