"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",1.0640469257399,1.80532838690779,1.37937741875964,1.27733286089462,1.04645129335013,1.23831999061909,1.30650343013867,1.4118668056448,1.43135845212626,1.24384121382445,1.85994925251183,1.30195862958243,1.53743091349817,1.57318830673423,1.15924111815562,1.48444353892812,1.48367683654515,1.12295300754584,1.61182734399571,1.15692185136582
"121",1.06128206567988,1.80533485930977,1.38026352639269,1.27832146792401,1.050397567213,1.23613194421677,1.30569648793957,1.4100838342504,1.42858448903944,1.24234871570796,1.86892501163301,1.31524854755653,1.53549785951665,1.57045515490898,1.18297434589674,1.48186808668366,1.50541650344481,1.12870082927633,1.62409433097957,1.15432251463013
"122",1.05961566954044,1.80272980337692,1.37891176206631,1.28506195947716,1.05590271564976,1.23420983391476,1.30554635750037,1.40942442242452,1.42920708127583,1.24008852887736,1.87427990852633,1.32201572713788,1.53652348070451,1.57057816912854,1.19589668320454,1.48219313046191,1.52493289749739,1.12942327889837,1.63253959738727,1.15339911648871
"123",1.06090367127045,1.80274044072701,1.37889784870272,1.29616372470695,1.06244960177949,1.23518632045734,1.30583951358009,1.40959132526784,1.43449166871168,1.24053053322083,1.87581080378303,1.32480402532184,1.54219977253176,1.57344640152671,1.19988073786054,1.48524584733455,1.54682722119859,1.13181113055162,1.63560758435155,1.15444615762459
"124",1.06286554196292,1.80270924822128,1.37871347130707,1.30955166294881,1.06804513018504,1.2362894157304,1.30559656058968,1.40999206819697,1.44458807696548,1.24149466633234,1.87367668417243,1.3250778432445,1.55080748581041,1.57942853646267,1.20182620490642,1.4894793751583,1.56205986504036,1.13068149136325,1.63565855278943,1.15646989828783
"125",1.06221948357381,1.80446514117878,1.37809103720102,1.3231875771839,1.07379804502516,1.23713917694369,1.30442507786082,1.41046393246134,1.45483469745957,1.24233584486502,1.87087655182411,1.32111250934616,1.56002830397804,1.5864039579989,1.19808751795061,1.49365842272803,1.57512025363823,1.12719578386514,1.63642057501262,1.15939357427593
"126",1.06089106032614,1.8086518553726,1.37788074897428,1.33640390702423,1.08084463401067,1.24215121950245,1.30384493900457,1.413800431558,1.46558331300469,1.2440922367352,1.87046664040776,1.31367614008043,1.57026272094762,1.59104584177577,1.19115446374061,1.49938454619333,1.58489858955322,1.12110557554615,1.63533181564938,1.16212735348987
"127",1.05632755112981,1.81193632767911,1.3782728023285,1.35100045905134,1.08344840990395,1.24659352844017,1.30268004145103,1.41432581992965,1.47837825431881,1.24899364821698,1.87073515014993,1.30956847564361,1.58081093296892,1.58951074704577,1.1869686326285,1.50271990898334,1.58884763725291,1.11665732061812,1.63506149214638,1.16690301472358
"128",1.05508912029641,1.81467676278055,1.37852625320595,1.37212608493584,1.08306317660892,1.24588543226337,1.30316602059687,1.41425405465914,1.47797860092661,1.25311481158486,1.87212650018835,1.30957310959958,1.58599613065163,1.58811744163712,1.18758225419991,1.50242476630998,1.58943214741558,1.11893414145014,1.63498148303086,1.16842651830409
"129",1.05899349901654,1.81170421563733,1.37823933902596,1.38488649081018,1.082973205475,1.23950672252521,1.30383380412828,1.41637164805448,1.46722924312222,1.25241448222594,1.8675110965385,1.30692802781152,1.58241706895222,1.58880628471242,1.18988125882522,1.49247871728695,1.60082908482253,1.12961532585083,1.63537576826834,1.16565850043154
"130",1.06102471849177,1.80162182149693,1.37777519878644,1.39740971467963,1.08460021691977,1.23571430014209,1.30757621722661,1.42105032573453,1.44120326730416,1.24807318916195,1.85928468639066,1.30400567577962,1.57637670061765,1.58586107266252,1.19355569291418,1.46995425117661,1.616750532667,1.14700550644682,1.62784568488621,1.15650747762102
"131",1.0631983002365,1.79316290532002,1.37708003325167,1.41434786470265,1.0786935636121,1.23088797532486,1.31284199472208,1.4258474656234,1.4202352069895,1.24635889378976,1.85584797506865,1.29871604780866,1.57495804757134,1.58827787499768,1.20008508106623,1.4504191646078,1.63825661041372,1.16616662434617,1.62781290896444,1.15017122157244
"132",1.06404580717267,1.78835619450454,1.3820152803089,1.43458673996113,1.06873969036787,1.22401810940217,1.31606198288375,1.42791382250009,1.41232997010067,1.24723928757412,1.85534240017261,1.29854025327599,1.57401945876809,1.58739905120733,1.20187895450801,1.42898455413315,1.66214031732392,1.18123945844643,1.62805845212745,1.14637861570245
"133",1.06405434180964,1.78620662823209,1.37984988653783,1.45877356937979,1.06018389962072,1.22130590490613,1.31817944280935,1.43188491968668,1.41277112238718,1.25327438919956,1.85538705478358,1.29883197177806,1.57467608808319,1.58744946309376,1.20139039718418,1.41245764067985,1.68189961548281,1.19003999312765,1.62733235574675,1.14476139094453
"134",1.06311641080569,1.78478868043629,1.38447135888152,1.47766547486586,1.05546154011792,1.21954254121056,1.32043912372134,1.43648309996746,1.42069987977917,1.25979168466465,1.8578999029702,1.2982224454934,1.57757116528692,1.58745417275107,1.19980877411659,1.40220182887742,1.69119828794798,1.19529131939263,1.62698801701111,1.14464889889095
"135",1.05956696174146,1.78371725652642,1.38605459158529,1.49334898496292,1.05317833192355,1.21974023757527,1.32269428819312,1.43759372891439,1.43220687253335,1.26691479534329,1.86523753437288,1.29851172594295,1.57813164135124,1.58723195291123,1.20047833945024,1.39539585248633,1.69603793685222,1.19614765395722,1.62634853886314,1.14754590968461
"136",1.05055632974826,1.78593517522988,1.38551606381402,1.50377637672032,1.05379982628688,1.21919590300745,1.32036030815032,1.43560590080046,1.44365779883835,1.27826410677688,1.87471721525899,1.29778235874208,1.57467766414914,1.5865123786152,1.20015296890167,1.39596092531824,1.69683804353499,1.19606056452861,1.62219895760387,1.15335214454215
"137",1.04047191253739,1.78948707697439,1.38242829299161,1.5053009659908,1.0560697639366,1.21852164702592,1.31212819956765,1.4293744921082,1.45263770030767,1.28658278818166,1.88614633167821,1.29411893631525,1.57023259458009,1.58415031213549,1.20019332124738,1.39993480481498,1.69282346310788,1.19557357092202,1.61766849535271,1.15846495789814
"138",1.02502472896575,1.79436576553103,1.37965736542836,1.50164863785287,1.05543142520825,1.21517838829847,1.30209283970402,1.42230615516856,1.46020568798534,1.28986163206992,1.89775373998521,1.28976459852255,1.56257669215289,1.58201658068965,1.19794504100315,1.40598305481781,1.68570313084839,1.19715551493442,1.61530361897243,1.16783675757952
"139",1.00533387530213,1.7931327308572,1.37919284074066,1.4944367392346,1.05476976379271,1.21244201233831,1.29562549576184,1.41556362328076,1.4591186529475,1.28904450763151,1.90318415451355,1.28099833424027,1.55567118337435,1.57580144391956,1.19580140952996,1.41217226726518,1.67822789474359,1.1984036904351,1.61334500850276,1.18103777192175
"140",0.998503959120944,1.79378649851526,1.37953875489794,1.51114660307701,1.0546756929872,1.21410498813437,1.28053437431001,1.4142612374972,1.45854195062895,1.2881710021245,1.90495423891882,1.27872110169905,1.55798552854936,1.57661069551601,1.19420024513289,1.41247490677585,1.67617371245259,1.19839344697616,1.61378004217826,1.18566150816776
"141",1.0066075612256,1.79386176622958,1.37691508785658,1.5337717806494,1.05874808056052,1.22018853729697,1.26778612462285,1.41596914447064,1.46425366380612,1.29029961201337,1.90444991964526,1.28081649279303,1.57118811864025,1.58416119002432,1.19417259819248,1.4069761053295,1.68564481130258,1.19833804583296,1.61486488495322,1.18205107969633
"142",1.03548006192913,1.79185858994971,1.37010082340953,1.56558663075111,1.05872843648536,1.23244672272421,1.25608271634965,1.42038928651389,1.47007522640658,1.29220302367892,1.90469885392577,1.28511573326611,1.58620023460879,1.59905882289895,1.19646845608765,1.39962931987388,1.70165662942165,1.20091983806789,1.61578892560239,1.17304957185681
"143",1.05601132661739,1.78725591887824,1.36734326734988,1.59640051403453,1.05660302343196,1.24079891643392,1.23580957571768,1.42716584982165,1.47358635813579,1.29761840952734,1.90662846643047,1.28653096795619,1.60172729696471,1.61401420881688,1.19723774389197,1.39174615804843,1.71328902826781,1.20637545047958,1.61529801228896,1.1646215633325
"144",1.06808710694942,1.78042064475385,1.36359263147725,1.61826582206811,1.05735819261886,1.24439984144657,1.20721515938128,1.43047726441016,1.47307345159703,1.29790927306056,1.90830364149022,1.28612883611181,1.62018821757117,1.63196116816003,1.19174930757038,1.38421229708133,1.71716116720108,1.20878460024226,1.61460117065095,1.1596784937329
"145",1.07150409749303,1.77857107463587,1.35880638071111,1.63179593521081,1.05947585502987,1.24676167020796,1.18241352709684,1.43194422393626,1.47106348652835,1.29682635184882,1.90869787722226,1.28452876825945,1.6322607705804,1.63990150965091,1.18066155126733,1.3839512758373,1.71300424631139,1.21056868628793,1.6126891614278,1.15862760268337
"146",1.06847372447651,1.77662053806702,1.35733030647195,1.63903438360504,1.06128591738513,1.24778589087833,1.15758968440366,1.43154768112133,1.46955254812395,1.29404459778082,1.90872641722871,1.28351250136804,1.63634500363203,1.6421337533617,1.16804915499815,1.38386948395756,1.70754555705185,1.21062026532716,1.61214502191363,1.16032907307987
"147",1.05441086059204,1.77557554910636,1.35937641199039,1.64636579149812,1.06168425654194,1.2478127901481,1.14190185741772,1.43132360137303,1.46782790408329,1.29408836139238,1.90798771906868,1.28188382135562,1.63544959818011,1.63860877871355,1.1568664097135,1.38403668165551,1.70121401013399,1.21077890076452,1.61824427942034,1.16360645994915
"148",1.0363899088862,1.77694322024763,1.36496087555177,1.64616641303165,1.06071142485586,1.24727741974367,1.12480033273947,1.43183835098541,1.46460539833165,1.29538902593137,1.90727517504817,1.28211776992054,1.62761913316155,1.62998077554741,1.14711568125332,1.38605090151697,1.69530540932882,1.21163779134061,1.62536992300444,1.16702106866888
"149",1.0216821165407,1.78000277421559,1.37191986598954,1.64280122693558,1.05950074037651,1.24778310936466,1.10987679609293,1.42990040136177,1.45916062875725,1.29785195268456,1.90384532770596,1.28229647700431,1.61543265092405,1.61645231706059,1.13865442247718,1.39089494118031,1.68914105262712,1.21195691599071,1.64142309455131,1.17026405825101
"150",1.01672968316789,1.78086954955183,1.37813038717238,1.64286671529295,1.06015241935998,1.24787946847231,1.10251753122572,1.43031160024928,1.45655947062518,1.30411871753552,1.89427321030889,1.28352291504786,1.59954950989597,1.59962267563635,1.13530668336842,1.39350215677851,1.68674349977496,1.21540843186943,1.65796262633389,1.17358378526782
"151",1.01842503908141,1.78162825649658,1.38740541153238,1.64285711460926,1.06013901424621,1.24706745820471,1.10929460360548,1.43555958618467,1.45883311432309,1.30886198734812,1.88318551857088,1.29304314283579,1.58624927709236,1.57600802328836,1.13913690544278,1.39396872531941,1.69131934665656,1.21815687668526,1.67111782496335,1.17355476812918
"152",1.01588787314991,1.7825638198743,1.39348013818309,1.63916179432413,1.06106769129381,1.24704358840262,1.11384780178489,1.43564143668359,1.47481307104543,1.309673039029,1.86769366149921,1.30301509986352,1.58097599208576,1.56098947093558,1.14268612325254,1.39215999041726,1.69104885899182,1.22444670827562,1.667106876319,1.17377463607353
"153",1.00949559375488,1.78659735372842,1.392335872656,1.63440457939447,1.06712096685252,1.2460008109496,1.1088411778111,1.4251565674361,1.49246477688661,1.30854868688166,1.85829501773008,1.30443754372166,1.58405347579892,1.55083824822652,1.14137085517445,1.39218439407821,1.68323452216798,1.22894841661083,1.64859246121746,1.17623770289292
"154",1.00490892683997,1.7922461420066,1.38550142957386,1.63628552305292,1.08253659276411,1.24296705858406,1.09426766233444,1.39868691562072,1.50798302857112,1.30823654272289,1.85102632180246,1.30392329715355,1.5917967069187,1.54578189941159,1.13694731440197,1.39608060983802,1.67875971081566,1.2300293074992,1.62700566292778,1.17338478267665
"155",1.00028759890798,1.79449194637219,1.37879919726886,1.63335734794591,1.08695241600127,1.24021409216748,1.08814709201695,1.37413422874703,1.52496052672819,1.30449828282153,1.83932787514319,1.30523636044552,1.59684505640505,1.53698891917977,1.1333798270003,1.39625214335562,1.67556788301778,1.23765837026163,1.60747900692474,1.17353558397734
"156",0.995595420193969,1.79986847427793,1.37966051917683,1.63571098099122,1.10127101414439,1.23357745966568,1.08939606682328,1.35757011497989,1.53917003491881,1.30406018464876,1.81932863025866,1.31159615578203,1.60086970227385,1.51923951473629,1.13408740063888,1.39360825213636,1.67284822693884,1.2503742357786,1.58597561049109,1.17694207795402
"157",0.992939394790521,1.80341033485067,1.38172686080368,1.63256294384811,1.11442133267242,1.2217023860152,1.0992984282026,1.3419510916283,1.543961547557,1.3046800475017,1.79663330026645,1.32340855698716,1.60205514932065,1.49321627568342,1.13563461759659,1.38495900594709,1.67199874807806,1.26941564912065,1.56870531881633,1.17692502371821
"158",0.991282930914058,1.81000182596682,1.39175322466065,1.63437283754829,1.12263671543563,1.21258999577718,1.10967946599501,1.33348691178778,1.54449828582726,1.30505436177573,1.77251424993717,1.33728380799077,1.5948628434361,1.46380762616705,1.13669531930613,1.37498926434892,1.67188142648631,1.29007366030076,1.56190632848473,1.17957660349022
